MCZ,jl,sl,mass,sex,eye,po,lense foam (n_seq),volume,
132627,12.67,8.5,2.5907,,2.062,0.036,1_1,9952880.31,
132640,18.35,14.5,12.0115,F,6.68,0.426,1_10,21203012.31,
132628,13.67,9.3,2.854,,3.924,,1_2,12655294.38,
132629_3,9.65,6.62,0.8242,,2.217,0.052,1_3,5865625.21,
132699,14.18,10.02,6.7825,,5.092,0.438,1_4,15303020.64,
53241,10.77,7.2,1.9322,,2.879,0.031,1_5,6841694.39,
132496,7.83,6.1,0.2753,,1.375,NA,1_6,4516823.46,
132704,13.14,8.9,3.4254,,3.918,0.242,1_7,9327571.23,
164819,11.37,7.9,2.1835,,2.613,0.137,1_8,7837546.58,
148626,7.67,4.85,0.3605,,1.264,0.036,1_9,2348855.72,
132705,6.69,4.6,0.535,,1.182,,2_1,9697935.07,PO?
42114,22.3,22.3,16.25,F,11.689,1.756,2_2,189041159.2,
132724,12.61,8.6,1.5428,,3.083,0.033,2_3,60874642.29,bad photo
148323,24.83,18.22,24.2413,M,10.57,2.667,2_4,176991264.5,
132632,21.37,16.18,18.5915,F,10.265,1.763,2_5,190819452.4,
169568_2,35.97,26.05,115.3,M,22.86,20.422,2_6,540166334.6,
132634,27.3,26.8,82,F,47.555,0.257,2_7,1224038940,? PO too small for JL
101662,37.53,28.2,108.8,F,23.18,2.356,2_8,400696601.4,
148299,38.6,29,89.8,F,23.449,8.742,2_9,652890217.4,
100859,13.85,10.2,4.3108,,5.601,0.076,3_1,14085014.26,
132703,34.39,27.7,104.8,F,24.054,4.707,3_10,95214357.58,
132697,11.15,7,1.831,,2.719,0.088,3_2,6147570.89,
132698,15.58,10.6,4.414,,5.503,0.13,3_3,18168692.11,
165955,15.32,11.6,7.4687,,4.257,0.488,3_4,13261663.33,
132700,19.68,15.1,14.2348,F,8.121,0.532,3_5,23379732.86,
132638,21.14,16.28,19.3,M,3.645,8.51,3_6,29745233.64,
132631,20.56,,,F,,0.306,3_7,30878056.17,
132630_1,11.95,8.91,3.532,,2.782,0.042,3_8,8034543.46,
132701,31.21,22.4,48.2,M,18.239,3.888,3_9,69808889.94,
148300_7,20.07,14.55,10.5714,F,5.446,1.56,4_1,142967001.6,
148300_5,19.36,12.65,5.297,M,8.228,1.327,4_10,117658559.8,
148300_8,20.45,17.39,16.4876,F,8.892,1.1411,4_2,171334227.8,
148300_4,,,,,,NA,4_3,134861567.1,bad photo do not use
148300_10,22.36,16.8,18.807,F,12.21,2.207,4_4,218617335.8,
148300_11,30.57,24.9,55.8,M,21.946,6.263,4_5,445989456,
148300_9,20.78,17.5,17,F,13.657,2.807,4_6,183399214,
148300_12,36.01,26.7,75.5,M,33.621,6.67,4_7,648521562.9,
148300_3,16.7,14.9,11.3489,F,6.302,0.494,4_8,158666469.4,
148300_6,19.51,14.1,11.5409,M,7.49,1.19,4_9,156703647.2,
148300_1,7.72,5.1,0.3999,,0.766,,5_1,12419780.55,
148300_2,8.14,6.1,0.5559,,1.384,,5_2,16335293.58,
166685,5.81,3.9,0.1659,,0.754,NA,5_3,6700191.69,PO?:
132693,6.79,5.12,0.4859,,0.997,NA,5_4,8572064.02,PO?:
148324,39.02,28.6,119.4,F,27.511,6.497,5_5,584668770.3,
132633,32.64,24,41.3,M,16.187,5.511,5_6,279414619.8,
32270,41.46,32.2,135.5,F,33.784,5.218,5_7,728884235.5,
132630_2,31.65,23,43.9,M,23.366,11.334,NA,,
169568_1,35.26,NA,NA,M,23.479,18.647,NA,,