mcz,sex,mass,sl,jl,eye,ao,po,genus,diam,n
42402,M,3.216,9.3,23.74,12.682,1.839,5.475,Malacosteus,0.00400579013638776,1
42403,M,15.123,13.3,39.38,0.014,10.286,5.275,Malacosteus,0.00531970567341478,2
42405,M,18.948,13.4,38.72,39.626,10.731,7.262,Malacosteus,0.0053701497288841,3
53276,M,10.726,13.2,34.92,42.216,6.806,9.858,Malacosteus,0.00550331319850716,4
53278,M,1.687,7.6,20.03,13.447,5.18,1.058,Malacosteus,0.00346564392580624,5
53279,M,3.03,9.5,NA,NA,NA,2.309,Malacosteus,0.00413858645978826,6
53287,M,7.332,12.1,30.18,25.973,5.44,6.675,Malacosteus,0.00465458022938305,7
59445,F,12.823,14,16.18,9.172,3.497,1.108,Malacosteus,0.0053824894206133,8
59445,F,12.823,14,37,36.835,14.327,3.674,Malacosteus,0.0053824894206133,9
59445,F,12.823,14,NA,36.835,14.327,3.674,Malacosteus,0.0053824894206133,10
62202,F,2.543,8.8,NA,NA,NA,0.799,Malacosteus,0.00315545971736446,11
89078,M,23.643,15.5,43.2,51.113,10.331,10.007,Malacosteus,0.0059442210393422,12
91745,M,2.831,9,26.76,19.504,4.508,2.039,Malacosteus,0.00400648483149516,13
91745,M,2.831,9,50.59,40.214,13.178,8.253,Malacosteus,0.00400648483149516,14
131755,F,4.396,8.9,21.42,12.174,5.316,1.543,Malacosteus,0.00311856608879447,15
131759,M,7.213,10,26.29,21.063,6.193,4.672,Malacosteus,0.00413904085952941,16
131760,F,8.783,11.9,33.89,32.022,9.588,3.759,Malacosteus,0.00459907847686488,17
131761,M,19.621,14,35.24,31.948,9.09,7.374,Malacosteus,0.00525132484325359,18
131763,M,19.006,14,37.84,37.197,9.283,6.58,Malacosteus,0.00500329229858026,19
131765,M,10.72,11.8,32.37,27.8,6.663,5.686,Malacosteus,0.00485635325204507,20
131767,F,9.547,10.6,26.18,18.508,8.074,3.203,Malacosteus,0.00387241416927228,21
131768,M,8.203,10.5,25.06,16.47,5.923,3.387,Malacosteus,0.0039856064650759,22
131769,M,19.751,13.6,37.14,35.013,10.422,9.014,Malacosteus,0.00551897351409629,23
131771,F,3.603,8.4,20.64,15.032,5.482,2.529,Malacosteus,0.0032259708541336,24
131773,M,5.548,10.1,25.46,19.819,7.448,4.45,Malacosteus,0.00414761512771366,25
131774,M,5.929,7.7,10.44,3.242,1.293,0.394,Malacosteus,0.00383826723767792,26
131795,F,15.7,13.5,27.22,18.081,6.055,2.278,Malacosteus,0.00505727234049368,27
131795,F,15.7,13.5,36.05,32.244,9.17,3.53,Malacosteus,0.00505727234049368,28
131778,M,10.68,12.6,NA,NA,NA,NA,Malacosteus,0.00517369101278431,29
131780,M,6.193,11.3,27.46,21.091,6.472,4.329,Malacosteus,0.00432671879517991,30
131791,M,3.197,8.8,23.36,15.435,3.97,3.495,Malacosteus,0.00392980990258072,31
131791,F,4.511,9.9,23.36,15.435,3.97,3.495,Malacosteus,0.00404278131944947,32
131793,M,7.227,11.3,31.03,25.97,8.617,7.791,Malacosteus,0.00477931466188619,33
131795,F,4.632,10.9,27.22,18.081,6.055,2.278,Malacosteus,0.00418669310329143,34
131795,F,4.632,10.9,36.05,32.244,9.17,3.53,Malacosteus,0.00418669310329143,35
131797,F,7.449,11,29.31,25.521,5.113,3.201,Malacosteus,0.00446550142793232,36
131798,M,4.316,8.5,24.15,16.918,3.233,2.89,Malacosteus,0.00369563289916723,37
131798,M,5.239,11,24.15,16.918,3.233,2.89,Malacosteus,0.00466378153201439,38
131799,F,7.593,11.6,29.82,29.263,5.575,2.888,Malacosteus,0.00487727242872121,39
131803,F,5.33,10.6,26.98,19.479,5.816,2.897,Malacosteus,0.00398068205735909,40
131812,F,2.001,7.95,19.14,9.596,3.272,1.343,Malacosteus,0.00272610087562193,41
131814,F,3.167,9.45,24.03,17.996,5.462,2.143,Malacosteus,0.00363382196042907,42
131818,M,3.26,8,21.14,11.757,4.707,1.681,Malacosteus,0.00344182540921106,43
70586,F,4.9422,11.6,21.03,7.861,NA,1.059,Photostomias,0.00195977435661743,44
94595,M,3.1977,11,20.07,10.271,0.278,3.376,Photostomias,0.00256600380951594,45
97031,F,2.6445,9.68,18.88,10.369,0.078,0.793,Photostomias,0.00212189506462813,46
131457,F,0.6583,6.1,11.01,2.402,NA,0.26,Photostomias,0.00119410366270021,47
131477,M,4.857,10.81,20.52,12.562,0.098,4.251,Photostomias,0.00243352714123271,48
131484,F,2.574,9.18,17.71,5.222,NA,0.111,Photostomias,0.00155924670628812,49
131580,M,4.4336,10.89,19.84,13.212,0.163,3.909,Photostomias,0.00228039765862078,50
131729,M,3.2809,11.49,20.76,14.898,0.31,2.928,Photostomias,0.00257850750502134,51
138045,M,2.7733,9.37,18.03,6.752,0.026,1.163,Photostomias,0.00175659857000463,52
149512,F,3.8907,10.35,20.13,6.717,NA,0.601,Photostomias,0.00175745272360002,53
149513,M,2.4222,8.99,17.04,5.998,NA,1.438,Photostomias,0.00175996910801846,54
155387,M,1.4192,7.6,14.66,3.763,0.027,0.746,Photostomias,0.00217417517226604,55
155707,F,5.299,11.41,20.39,8.727,NA,1.044,Photostomias,0.00197123882545799,56
158918,F,1.7676,8.5,17.2,2.78,NA,0.509,Photostomias,0.00210339037856271,57
162269,F,5.3774,11.55,20.88,9.798,NA,0.843,Photostomias,0.00191779225511293,58
162270,F,1.3273,7.73,14.8,3.317,NA,0.429,Photostomias,0.00131949084670851,59
162274,F,1.8153,8.2,16.39,4.19,NA,0.208,Photostomias,0.00145535249187181,60
162275,F,3.4954,9.78,17.49,5.004,NA,0.421,Photostomias,0.00160157171061559,61
162582,F,2.698,10.38,20.34,8.029,NA,0.794,Photostomias,0.00197194161482897,62
163034,F,2.3303,9.4,17.87,6.006,NA,0.388,Photostomias,0.00166929568009921,63
163037,F,1.8341,9.3,17.61,5.978,NA,0.72,Photostomias,0.00160899121181558,64
163043,F,2.2485,9.45,18.11,4.128,NA,0.821,Photostomias,0.00164415846146223,65
163649,F,0.8722,6.4,13.34,2.609,NA,0.165,Photostomias,0.00117531015283263,66
164258,F,5.694,11.8,NA,7.093,NA,0.872,Photostomias,0.00188745104279081,67
164260,F,1.4509,8.25,16.57,3.127,NA,0.701,Photostomias,0.00141896299936943,68
164261,M,9.1134,14,25.66,11.267,NA,3.478,Photostomias,0.00211168854192298,69
164327,F,2.265,9.93,17.72,4.295,NA,0.579,Photostomias,0.00156872128301838,70
164809,F,1.1393,7.97,15.52,2.628,NA,0.456,Photostomias,0.00135637188745195,71
131476_2,M,2.2951,8,18.03,9.653,0.097,3.055,Photostomias,0.00157754644705041,72
131476_3,M,3.5203,9.5,18.21,9.761,0.099,2.928,Photostomias,0.00219601511924133,73
131481_2,M,2.3527,9.2,17.82,11.064,0.114,1.028,Photostomias,0.00221209521997735,74
131481_3,M,2.6556,9.4,18.48,9.898,0.058,2.007,Photostomias,0.00215873408863693,75
131488_1,M,3.0128,9.6,17.97,7.955,0.092,2.055,Photostomias,0.00180688302562156,76
131718_5,M,1.7633,8.1,16,7.872,0.074,1.171,Photostomias,0.00196812724798872,77
149514_2,F,3.3463,9.5,19.5,6.851,NA,0.544,Photostomias,0.00162389376239451,78
149515_1,F,0.7043,6.3,12.27,2.145,NA,0.116,Photostomias,0.00113909651059983,79
149515_2,F,0.9484,6.8,13.06,2.314,NA,0.292,Photostomias,0.00107356601982842,80
149516_1,F,0.739,6.41,12.38,2.253,NA,0.162,Photostomias,0.00108587873736109,81
158907_2,F,1.1303,7.2,13.97,2.494,NA,0.233,Photostomias,0.00132996943194733,82
158907_3,M,1.3588,7.41,14.66,3.974,NA,0.544,Photostomias,0.00133898992706868,83
158907_4,M,1.6714,7.9,15.51,4.478,0.048,1.073,Photostomias,0.00155465624005721,84
162266_2,M,2.815,9.45,18.71,10.426,0.059,2.226,Photostomias,0.0020758100976497,85
162268_1,F,1.0108,7.2,14.41,3.828,0.017,0.238,Photostomias,0.00146349177420509,86
162268_2,F,4.58,10.4,19.18,7.7,0.019,0.711,Photostomias,0.00180126508545926,87
164258_2,F,5.781,12.1,21.83,7.678,NA,1.059,Photostomias,0.00137435826197152,88
164262_1,F,0.9978,7.4,NA,3.046,NA,0.404,Photostomias,0.00137194047450661,89
164263_1,M,1.955,8.97,17.27,4.891,NA,1.028,Photostomias,0.00154400642608853,90
164263_3,F,3.4125,10.51,20.15,8.526,NA,0.994,Photostomias,0.00189553081960072,91
164264_1,F,0.9394,7.5,15.35,3.73,0.031,0.223,Photostomias,0.00127447863693232,92
164821_1,M,0.8748,7.2,14.07,3.104,0.03,0.532,Photostomias,0.00135285930417091,93
164821_2,F,3.4898,9.85,19.54,5.806,NA,1.007,Photostomias,0.00168669189985549,94
70584_1,M,1.3249,7.3,14.92,5.55,0.032,1.047,Photostomias,0.00149192835004473,95
70584_2,M,2.3079,8.7,16.74,6.649,0.049,1.426,Photostomias,0.00170885755399857,96
70587_1,M,1.801,8.21,NA,6.534,0.06,1.937,Photostomias,0.00192808179276256,97
131456,M,0.4581279477159537,5.3690448814095,10.91,2.813,NA,0.405,Photostomias,0.00127162762286894,98
131579,M,2.4865651220488574,9.320876921069331,17.82,11.755,0.042,1.091,Photostomias,0.00270783288031548,99
155700,M,3.765878488937752,10.62480992402511,20.1,15.813,0.082,1.923,Photostomias,0.00320616082178994,100
158775,M,3.029146565172341,9.921372382956864,18.87,8.826,0.192,2.313,Photostomias,0.00271362100399245,101
164805_1,M,0.526627514366509,5.626400079361297,11.36,3.492,0.012,0.324,Photostomias,0.00149133682515126,102
164805_2,M,1.2361231851786931,7.4507624826196,14.55,2.7,0.022,0.437,Photostomias,0.00143632532752273,103
131981,M,0.5298308366716341,5.637838088159156,11.38,2.451,0.018,0.26,Photostomias,0.00102585760161841,105
131650,M,0.2574041570737489,4.408252142389453,9.23,1.38,NA,0.442,Photostomias,0.00100380075648318,106
